Region,Region code,Postcode
ACT major urban - capital city,0,200
ACT major urban - capital city,0,201
ACT major urban - capital city,0,202
ACT major urban - capital city,0,203
ACT major urban - capital city,0,204
ACT major urban - capital city,0,205
ACT major urban - capital city,0,206
ACT major urban - capital city,0,207
ACT major urban - capital city,0,208
ACT major urban - capital city,0,209
ACT major urban - capital city,0,210
ACT major urban - capital city,0,211
ACT major urban - capital city,0,212
ACT major urban - capital city,0,213
ACT major urban - capital city,0,214
ACT major urban - capital city,0,215
ACT major urban - capital city,0,216
ACT major urban - capital city,0,217
ACT major urban - capital city,0,218
ACT major urban - capital city,0,219
ACT major urban - capital city,0,220
ACT major urban - capital city,0,221
ACT major urban - capital city,0,222
ACT major urban - capital city,0,223
ACT major urban - capital city,0,224
ACT major urban - capital city,0,225
ACT major urban - capital city,0,226
ACT major urban - capital city,0,227
ACT major urban - capital city,0,228
ACT major urban - capital city,0,229
ACT major urban - capital city,0,230
ACT major urban - capital city,0,231
ACT major urban - capital city,0,232
ACT major urban - capital city,0,233
ACT major urban - capital city,0,234
ACT major urban - capital city,0,235
ACT major urban - capital city,0,236
ACT major urban - capital city,0,237
ACT major urban - capital city,0,238
ACT major urban - capital city,0,239
ACT major urban - capital city,0,240
ACT major urban - capital city,0,241
ACT major urban - capital city,0,242
ACT major urban - capital city,0,243
ACT major urban - capital city,0,244
ACT major urban - capital city,0,245
ACT major urban - capital city,0,246
ACT major urban - capital city,0,247
ACT major urban - capital city,0,248
ACT major urban - capital city,0,249
ACT major urban - capital city,0,250
ACT major urban - capital city,0,251
ACT major urban - capital city,0,252
ACT major urban - capital city,0,253
ACT major urban - capital city,0,254
ACT major urban - capital city,0,255
ACT major urban - capital city,0,256
ACT major urban - capital city,0,257
ACT major urban - capital city,0,258
ACT major urban - capital city,0,259
ACT major urban - capital city,0,260
ACT major urban - capital city,0,261
ACT major urban - capital city,0,262
ACT major urban - capital city,0,263
ACT major urban - capital city,0,264
ACT major urban - capital city,0,265
ACT major urban - capital city,0,266
ACT major urban - capital city,0,267
ACT major urban - capital city,0,268
ACT major urban - capital city,0,269
ACT major urban - capital city,0,270
ACT major urban - capital city,0,271
ACT major urban - capital city,0,272
ACT major urban - capital city,0,273
ACT major urban - capital city,0,274
ACT major urban - capital city,0,275
ACT major urban - capital city,0,276
ACT major urban - capital city,0,277
ACT major urban - capital city,0,278
ACT major urban - capital city,0,279
ACT major urban - capital city,0,280
ACT major urban - capital city,0,281
ACT major urban - capital city,0,282
ACT major urban - capital city,0,283
ACT major urban - capital city,0,284
